City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
111,hunucma,21.0167,-89.8667,299.31,80,62,3.44,MX,2023-11-11
112,ebaye,8.7748,167.7392,300.16,89,75,6.69,MH,2023-11-11
113,nar'yan-mar,67.6713,53.087,264.32,93,96,3.13,RU,2023-11-11
114,kilindoni,-7.9139,39.6668,299.7,84,100,4.99,TZ,2023-11-11
115,sainte-anne-des-monts,49.124,-66.4924,271.57,87,75,2.51,CA,2023-11-11
116,nova vicosa,-17.8919,-39.3719,297.98,84,18,6.09,BR,2023-11-11
117,kavieng,-2.5744,150.7967,302.16,72,100,6.15,PG,2023-11-11
118,aswan,24.0934,32.907,300.17,50,63,3.17,EG,2023-11-11
119,kish,26.5578,54.0194,299.3,61,0,2.06,IR,2023-11-11
120,thompson,55.7435,-97.8558,272.24,93,100,3.09,CA,2023-11-11
121,novaya igirma,57.1334,103.9112,260.73,79,11,1.2,RU,2023-11-11
122,atafu village,-8.5421,-172.5159,302.42,73,6,4.5,TK,2023-11-11
123,pubal,37.2917,127.5078,276.84,29,100,1.06,KR,2023-11-11
124,santiago de chuco,-8.15,-78.1833,286.68,69,77,0.96,PE,2023-11-11
125,fukuecho,32.6881,128.8419,289.36,60,76,7.4,JP,2023-11-11
126,stanley,54.868,-1.6985,277.02,87,40,4.63,GB,2023-11-11
127,keflavik,64.0049,-22.5624,275.39,93,40,3.09,IS,2023-11-11
128,hammerfest,70.6634,23.6821,274.4,93,40,4.63,NO,2023-11-11
129,tshabong,-26.05,22.45,300.14,27,100,9.17,BW,2023-11-11
130,hadibu,12.65,54.0333,299.9,82,100,5.86,YE,2023-11-11
131,dudinka,69.4058,86.1778,266.86,95,100,8.49,RU,2023-11-11
132,midvagur,62.0511,-7.1939,277.61,87,75,1.54,FO,2023-11-11
133,avarua,-21.2078,-159.775,299.18,89,40,2.57,CK,2023-11-11
134,bredasdorp,-34.5322,20.0403,289.86,74,100,2.93,ZA,2023-11-11
135,puli,23.9664,120.9695,300.76,55,50,2.16,TW,2023-11-11
136,asaba,6.2006,6.7338,296.77,97,98,2.04,NG,2023-11-11
137,kruisfontein,-34.0033,24.7314,289.4,90,19,8.65,ZA,2023-11-11
138,burang,30.25,81.1667,269.29,75,69,1.42,CN,2023-11-11
139,kingaroy,-26.5333,151.8333,301.57,32,0,3.48,AU,2023-11-11
140,genhe,50.7833,121.5167,263.12,49,100,1.07,CN,2023-11-11
141,temirlanovka,42.5994,69.2633,278.92,34,100,2.43,KZ,2023-11-11
142,gadzhiyevo,69.2551,33.3362,266.15,96,77,3.16,RU,2023-11-11
143,yonezawa,37.9167,140.1167,283.22,77,81,6.31,JP,2023-11-11
144,saint-joseph,-21.3667,55.6167,293.48,84,100,2.09,RE,2023-11-11
145,anadyr,64.75,177.4833,259.43,78,20,8.0,RU,2023-11-11
146,ratnagiri,16.9833,73.3,299.78,72,41,2.13,IN,2023-11-11
147,tolanaro,-25.0319,46.9987,292.48,74,41,1.11,MG,2023-11-11
148,troitsko-pechorsk,62.7084,56.1964,271.87,94,100,3.13,RU,2023-11-11
149,kourou,5.1552,-52.6478,300.08,84,20,4.66,GF,2023-11-11
150,qaqortoq,60.7167,-46.0333,266.25,58,44,4.46,GL,2023-11-11
151,christchurch,-43.5333,172.6333,290.09,62,0,6.69,NZ,2023-11-11
152,revda,56.801,59.9303,274.86,100,100,0.93,RU,2023-11-11
153,chu,43.5983,73.7614,277.51,63,64,1.93,KZ,2023-11-11
154,invercargill,-46.4,168.35,292.09,34,0,2.28,NZ,2023-11-11
155,billings,45.7833,-108.5007,276.97,57,20,4.12,US,2023-11-11
